"","year","age","value","model","value_lower","value_upper"
"410",1967,8,0.00774479718592469,"Independent model + rho",0.00119850551726186,0.0392968644693923
"411",1968,8,0.123919733090778,"Independent model + rho",0.0633040052228417,0.199314402490768
"412",1969,8,0.193252775446273,"Independent model + rho",0.124619266976503,0.258544668230829
"413",1970,8,0.0186901304241338,"Independent model + rho",0.00454544878620446,0.0480697172475947
"414",1971,8,0.0252474310729492,"Independent model + rho",0.00541697048558473,0.0584536442520809
"415",1972,8,0.00471716833258149,"Independent model + rho",0.000743018056031595,0.0251104671159717
"416",1973,8,0.00466798043418492,"Independent model + rho",0.000905654970050696,0.0223368920878445
"417",1958,9,NA,"Independent model + rho",NA,NA
"418",1959,9,NA,"Independent model + rho",NA,NA
"419",1960,9,NA,"Independent model + rho",NA,NA
"420",1961,9,NA,"Independent model + rho",NA,NA
"421",1962,9,NA,"Independent model + rho",NA,NA
"422",1963,9,NA,"Independent model + rho",NA,NA
"423",1964,9,NA,"Independent model + rho",NA,NA
"424",1965,9,NA,"Independent model + rho",NA,NA
"425",1966,9,0.00532092365880267,"Independent model + rho",0.000847438831459211,0.0235053976071723
"426",1967,9,0.00764321088293096,"Independent model + rho",0.0011777281641152,0.039014804326398
"427",1968,9,0.119928577696396,"Independent model + rho",0.0596353820520938,0.193471519280191
"428",1969,9,0.173092612767466,"Independent model + rho",0.108031913991088,0.237647285008101
"429",1970,9,0.0179807935037315,"Independent model + rho",0.00412076422329046,0.0458102726575061
"430",1971,9,0.0248793305704679,"Independent model + rho",0.00535839548415545,0.0575183368917794
"431",1972,9,0.00464426604347341,"Independent model + rho",0.000726357971633619,0.0248609249849641
"432",1973,9,0.00462365465514869,"Independent model + rho",0.000900206515650623,0.0221623035728977
"433",1958,1,0.0107280622889827,"Independent model + age risk + rho",0.0014001646062499,0.0766862921295511
"434",1959,1,0.0139153134419768,"Independent model + age risk + rho",0.00159236695854067,0.123396341325281
"435",1960,1,0.017158466160771,"Independent model + age risk + rho",0.00190182159383655,0.210447310029365
"436",1961,1,0.0746370560942896,"Independent model + age risk + rho",0.0032662574227272,0.342512634199154
"437",1962,1,0.0258827133340891,"Independent model + age risk + rho",0.00201164910990349,0.16160610172636
"438",1963,1,0.0114477419976843,"Independent model + age risk + rho",0.00167066863138929,0.0663543591387405
"439",1964,1,0.0126677426495116,"Independent model + age risk + rho",0.00145313551012285,0.0655995772848587
"440",1965,1,0.00695902457625697,"Independent model + age risk + rho",0.00111873233371297,0.0291546219283752
"441",1966,1,0.00703844812853555,"Independent model + age risk + rho",0.00103351628313856,0.0281510578490696
"442",1967,1,0.00944134291914689,"Independent model + age risk + rho",0.00131738880226029,0.0465552619784371
"443",1968,1,0.131967293626933,"Independent model + age risk + rho",0.0611379367322079,0.23618497811396
"444",1969,1,0.225281976404188,"Independent model + age risk + rho",0.134287215220501,0.336857246560023
"445",1970,1,0.0289111818502533,"Independent model + age risk + rho",0.00619373994020443,0.073869803762303
"446",1971,1,0.0435152649144401,"Independent model + age risk + rho",0.0111501191800499,0.100063018234298
"447",1972,1,0.00804632671410455,"Independent model + age risk + rho",0.00147341736699191,0.0378956972279784
"448",1973,1,0.00801702963821171,"Independent model + age risk + rho",0.00144326363605367,0.0334594844467698
"449",1958,2,NA,"Independent model + age risk + rho",NA,NA
"450",1959,2,0.0142728538072393,"Independent model + age risk + rho",0.00161464598197105,0.121727221468216
"451",1960,2,0.0172337979113453,"Independent model + age risk + rho",0.00197649655959906,0.211603899179925
"452",1961,2,0.0737270829515808,"Independent model + age risk + rho",0.00302636859847594,0.343567951540156
"453",1962,2,0.0232801077311969,"Independent model + age risk + rho",0.00168430447862769,0.157433229381154
"454",1963,2,0.0112475101265069,"Independent model + age risk + rho",0.00165328478799278,0.0664365371622438
"455",1964,2,0.0127965015046031,"Independent model + age risk + rho",0.00149467561893863,0.064677752566799
"456",1965,2,0.00703574740656244,"Independent model + age risk + rho",0.00112432638068779,0.029774919982716
"457",1966,2,0.00720273904560037,"Independent model + age risk + rho",0.00105480964667725,0.0285976454878119
"458",1967,2,0.00967600593067296,"Independent model + age risk + rho",0.0013280138119174,0.0481084390936579
"459",1968,2,0.133643863168194,"Independent model + age risk + rho",0.0616037897632231,0.239033633909932
"460",1969,2,0.198563141915873,"Independent model + age risk + rho",0.120132780427946,0.298737396959523
"461",1970,2,0.0233243512576776,"Independent model + age risk + rho",0.00510161701548775,0.0592531227188063
"462",1971,2,0.042864319319446,"Independent model + age risk + rho",0.0108383372093732,0.102883454812269
"463",1972,2,0.00797888199219304,"Independent model + age risk + rho",0.00145245201516685,0.0377417233061167
"464",1973,2,0.00816957850229556,"Independent model + age risk + rho",0.00146848712096263,0.0346717401485421
"465",1958,3,NA,"Independent model + age risk + rho",NA,NA
"466",1959,3,NA,"Independent model + age risk + rho",NA,NA
"467",1960,3,0.0175777931949266,"Independent model + age risk + rho",0.00189373744966299,0.212394111180821
"468",1961,3,0.0737065411214092,"Independent model + age risk + rho",0.003035405331668,0.340212351188009
"469",1962,3,0.0231351512186946,"Independent model + age risk + rho",0.00170787970433935,0.161540362467554
"470",1963,3,0.0103206004520931,"Independent model + age risk + rho",0.0014844869218693,0.0624976990026806
"471",1964,3,0.0124870166463004,"Independent model + age risk + rho",0.00142794657724197,0.0638363816717619
