"","year","age","value","model","value_lower","value_upper"
"182",1963,3,0.0171000395449309,"Two-outbreak model + age risk",0.000866510480874644,0.0843178868294887
"183",1964,3,0.00045705108518501,"Two-outbreak model + age risk",4.41538484913124e-06,0.0134933901303122
"184",1965,3,1.78887673325833e-06,"Two-outbreak model + age risk",7.69644607745821e-08,0.000322482011532347
"185",1966,3,5.75038661091484e-05,"Two-outbreak model + age risk",1.7935489387431e-05,0.000183787860472859
"186",1967,3,0.00665391370178072,"Two-outbreak model + age risk",0.00304241811250446,0.0142733095026309
"187",1968,3,0.0990892984901171,"Two-outbreak model + age risk",0.0640035339133176,0.1460505616966
"188",1969,3,0.180035906538771,"Two-outbreak model + age risk",0.143782073103342,0.222167069665853
"189",1970,3,0.0463655307931043,"Two-outbreak model + age risk",0.027559249627265,0.071866243510181
"190",1971,3,0.00196910927840388,"Two-outbreak model + age risk",0.000840404086813693,0.00419083991549729
"191",1972,3,1.29700526652424e-05,"Two-outbreak model + age risk",3.66026118450989e-06,4.04101718728597e-05
"192",1973,3,9.94156202241117e-09,"Two-outbreak model + age risk",1.88249403322714e-09,4.58160295231397e-08
"193",1958,4,NA,"Two-outbreak model + age risk",NA,NA
"194",1959,4,NA,"Two-outbreak model + age risk",NA,NA
"195",1960,4,NA,"Two-outbreak model + age risk",NA,NA
"196",1961,4,0.0789504347480178,"Two-outbreak model + age risk",0.00827046535444637,0.146234594308599
"197",1962,4,0.0905757224752573,"Two-outbreak model + age risk",0.0251074068079989,0.138802319306412
"198",1963,4,0.0176968243491317,"Two-outbreak model + age risk",0.000853893801160746,0.0869841196058025
"199",1964,4,0.000440342392065786,"Two-outbreak model + age risk",4.119698211881e-06,0.0138435549195492
"200",1965,4,1.70164599401265e-06,"Two-outbreak model + age risk",7.7666635864359e-08,0.000308197336418616
"201",1966,4,5.81341616771237e-05,"Two-outbreak model + age risk",1.77480199419983e-05,0.000187015021220929
"202",1967,4,0.00691733549351243,"Two-outbreak model + age risk",0.00306515986554431,0.0149789910968333
"203",1968,4,0.103343409512945,"Two-outbreak model + age risk",0.0659272778728311,0.153760838798898
"204",1969,4,0.185878668125368,"Two-outbreak model + age risk",0.146283031023693,0.231999884449538
"205",1970,4,0.0472533787598143,"Two-outbreak model + age risk",0.0279941793251549,0.0738837870769487
"206",1971,4,0.0018455783185812,"Two-outbreak model + age risk",0.000764765163343512,0.00398351503577416
"207",1972,4,1.10102899821109e-05,"Two-outbreak model + age risk",3.21124211992414e-06,3.33042717977414e-05
"208",1973,4,9.80355691061171e-09,"Two-outbreak model + age risk",1.86575098542334e-09,4.40134412766475e-08
"209",1958,5,NA,"Two-outbreak model + age risk",NA,NA
"210",1959,5,NA,"Two-outbreak model + age risk",NA,NA
"211",1960,5,NA,"Two-outbreak model + age risk",NA,NA
"212",1961,5,NA,"Two-outbreak model + age risk",NA,NA
"213",1962,5,0.093489229015178,"Two-outbreak model + age risk",0.0257799873201545,0.145496979072182
"214",1963,5,0.0180677729270653,"Two-outbreak model + age risk",0.000869554060336252,0.0898437957931984
"215",1964,5,0.000452576293780934,"Two-outbreak model + age risk",4.0490605510833e-06,0.0143730666628218
"216",1965,5,1.646618133257e-06,"Two-outbreak model + age risk",7.17103852166347e-08,0.000315472732598019
"217",1966,5,5.51907705111928e-05,"Two-outbreak model + age risk",1.69118533063366e-05,0.000183753504373179
"218",1967,5,0.00698093707503679,"Two-outbreak model + age risk",0.00302657455450307,0.0153032285899966
"219",1968,5,0.107361130594674,"Two-outbreak model + age risk",0.0674151648857877,0.160724740811899
"220",1969,5,0.191730368396019,"Two-outbreak model + age risk",0.148138182998844,0.243690937180398
"221",1970,5,0.0483504539056899,"Two-outbreak model + age risk",0.0285188744410583,0.0760517718097963
"222",1971,5,0.0018764339754837,"Two-outbreak model + age risk",0.000767367078700585,0.00405795078947858
"223",1972,5,1.02582960494479e-05,"Two-outbreak model + age risk",2.94285214858279e-06,3.17303602119596e-05
"224",1973,5,8.31030377737873e-09,"Two-outbreak model + age risk",1.64390305438628e-09,3.59452659064348e-08
"225",1958,6,NA,"Two-outbreak model + age risk",NA,NA
"226",1959,6,NA,"Two-outbreak model + age risk",NA,NA
"227",1960,6,NA,"Two-outbreak model + age risk",NA,NA
"228",1961,6,NA,"Two-outbreak model + age risk",NA,NA
"229",1962,6,NA,"Two-outbreak model + age risk",NA,NA
"230",1963,6,0.0186630755406173,"Two-outbreak model + age risk",0.000886716560800442,0.0944713422261811
"231",1964,6,0.000469186012140878,"Two-outbreak model + age risk",4.07905585415594e-06,0.0149384005352185
"232",1965,6,1.68303837256383e-06,"Two-outbreak model + age risk",7.04826105905384e-08,0.000330261165337356
"233",1966,6,5.33928961766839e-05,"Two-outbreak model + age risk",1.61492485802282e-05,0.000180443298044699
"234",1967,6,0.00669275378297182,"Two-outbreak model + age risk",0.00281189179640547,0.0146979841258671
"235",1968,6,0.108992230121339,"Two-outbreak model + age risk",0.0671142795105823,0.164902108903013
"236",1969,6,0.197782268005452,"Two-outbreak model + age risk",0.150723822796034,0.25576245937627
"237",1970,6,0.0495984423369108,"Two-outbreak model + age risk",0.0289583896477327,0.0781669009379956
"238",1971,6,0.00191977665165092,"Two-outbreak model + age risk",0.000786120056849462,0.00415098514693923
"239",1972,6,1.04555067772897e-05,"Two-outbreak model + age risk",2.93107938163655e-06,3.24405227170187e-05
"240",1973,6,7.76017437120649e-09,"Two-outbreak model + age risk",1.48786277737984e-09,3.43743243318927e-08
"241",1958,7,NA,"Two-outbreak model + age risk",NA,NA
"242",1959,7,NA,"Two-outbreak model + age risk",NA,NA
"243",1960,7,NA,"Two-outbreak model + age risk",NA,NA
"244",1961,7,NA,"Two-outbreak model + age risk",NA,NA
"245",1962,7,NA,"Two-outbreak model + age risk",NA,NA
"246",1963,7,NA,"Two-outbreak model + age risk",NA,NA
"247",1964,7,0.000488696360228505,"Two-outbreak model + age risk",4.1876023048264e-06,0.0154834888205487
"248",1965,7,1.7343358694329e-06,"Two-outbreak model + age risk",7.23334394023689e-08,0.000345761465132558
